Person/Organization	الشخص/المؤسسة	Unnamed: 2	Unnamed: 3
			
Appellation	الكنية/اللقب		
			
Actor/Investigator Name	المنفذ/اسم المحقق		
			
Alternate language name	الاسم اللغوي البديل		
			
Actor Role Type	نوع الدور الذي قام به الفاحص		
			
Investigator Role Type	نوع الدور الذي قام به الفاحص	See 'Assessment Summary' Tab for Terms and Definitions	
			
Actor/Investigator Role	وظيفة الفاحص (المقيم)	Definitions	التعريف
Agricultural	زراعي		
Archaeological Research	بحث أثري		
Architecture/Design/Mapping/Surveying	عمارة/تصميم/تخريط/مساحي		
Construction/Engineering	بناء - إنشاء/مهندس		
Creative Artist/Photographer	فنان إبداعي/مصور		
Education	تعليم		
Emergency Services	خدمات الطوارئ		
Entertainment/Event	تسلية/حدث/مناسبة		
Environmental/Conservation	بيئي/حفظ وصون		
Heritage Management (Commercial)	إدارة تراث (تجارية)		
Heritage Management (International)	إدراة تراث (دولية)		
Heritage Management (NGO/Community/Individual)	"إدارة تراث (مؤسسة غير حكومية/أهلية ""مجتمع""/أفراد)"		
Heritage Management (State)	إدارة تراث (دولة)		
Heritage Management (Unknown)	إدارة تراث (غير معلوم)		
Industrial/Productive/Engineering	صناعي/إنتاجي/هندسي		
Internally/Externally Displaced Persons	أشخاص نازحون/داخليًا/خارجيًا		
Maritime	بحري/ملاحي		
Military Group (Contracted)	جماعة مسلحة (مأجورة)		
Military Group (Non-State)	جماعة مسلحة (غير نظامية)		
Military Group (State)	جماعة مسلحة (نظامية تتبع الدولة)		
Military Group (Unknown)	جماعة مسلحة (غير معلومة)		
Militia (Non-State)	مليشيا (غير نظامية)		
Museum/Collecting Institution	متحف/مؤسسة جمع مقتنيات		
Religious	ديني		
Sports/Recreation	رياضة/ترفيه		
Travel/Tourism	سفر/سياحة		
Tribal Group	جماعة قبلية		
Unknown	غير معلوم		
			
Description Type	نوع الوصف	See 'Resource Summary' Tab for Terms and Definitions	
			
Description	الوصف		
			
Lifespan	مدى العمر		
			
Date of Birth	تاريخ الميلاد		
			
Date of Death	تاريخ الوفاة		
			
Cultural Period	الفترة الحضارية	See 'Cultural Period' Tab for Terms and Definitions	
			
Person/Organization Photo	صورة الشخص/المؤسسة		
			
Related Information Resource	مصدر المعلومات الوثيق الصلة		
