Disturbance Category	تصنيف سبب الاضطراب	Definitions	التعريف			
Threat Category	فئة التهديدات/المخاطر					
Agricultural/Pastoral	زراعي/ رعوي	Relating to the farming of land and/or the rearing of animals	له علاقة بزراعة الأرض، أو رعي الحيوانات بها			
Archaeological	أثري	Relating to the scientific investigation of an area/site/object	له علاقة بالبحث والتنقيب العلمي لمنطقة، أو موقع، أو قطعة			
Building and Development	البناء والتطوير	Relating to the expansion/enlargement/spread of activity, construction etc. Particularly in relation to urban expansion.	له علاقة بالامتداد، والتكبير، والانتشار لأنشطة الإنشاءات، وعادة ما ترتبط بالامتداد الحضري/العمراني	بناء وتطوير	no	
Defensive/Fortification	دفاعي/ تحصينات	Relating to the security or protection of people or an area, but not military in nature	له علاقة بالأمن أو بحماية الناس أو حماية منطقة، ولكن ليس ذا طبيعة حربية			
Domestic Use	استخدام منزلي	Relating to the habitation of people	له علاقة باستيطان وسكن الناس			
Funerary/Memorial	جنائزي/ تذكاري	Relating to activities concerning the memorialisation of individuals, events and/or the treatment of the dead	له علاقة بتخليد ذكرى أشخاص، أو أحداث، أو له علاقة بالتعامل مع الموت والموتى			
Hunting/Fishing	صيد بري/ صيد بحري	Relating to the exploitation of (mostly) non-domesticated species	له علاقة بالاستثمار في كائنات حية (عادة في غير الدواب أو الحيوانات المستأنسة)			
Hydraulic Use	استخدام مائي/ هيدرولوجي  	Relating to the management and movement of water	له علاقة بإدارة وحركة المياه			
Industrial/Productive	صناعي/ إنتاجي	Relating to the production of goods or other commodities, at large or small scale	له علاقة بانتاج البضائع، على نطاق كبير أو صغير			
Infrastructure/Transport	بنية تحتية/ مواصلات	Relating to the organisation and provision of facilities and services, particularly those associated with the movement of people, animals and goods, which are necessary for a society to function	له علاقة بتنظيم وإتاحة الخدمات، خصوصاً تلك المتعلقة بحركة الناس والحيوانات والبضائع، والتي يحتاجها كل مجتمع في حياته اليومية			
Looting/Illegal Activities	النهب/ الأنشطة المخالفة للقانون	Relating to activities associated with ilicit removal of goods from archaeological sites and their possible sale	له علاقة بالاستيلاء غير القانوني على محتويات موقع أثري ثم احتمال الاتجار فيها	نهب/أنشطة مخالفة للقانون	no	
Management and Institutional Factors	عوامل متعلقة بالإدارة والنواحي المؤسسية	Relating to the management of heritage and heritage laws				
Maritime	بحري	Relating to the sea, in particular shipping and/or the exploitation of maritime resources where these resources cannot be further defined.	له علاقة بالبحر، خصوصاً الشحن والاستثمار في مصادر بحرية، في الحالات التي لا يمكن فيها تحديد المصادر			
Military/Armed Conflict	عسكري/ نزاع مسلح	Relating to an organised and/or official group of armed forces	له علاقة بقوات حربية منظمة أو رسمية			
Natural	طبيعي	Relating to non-anthropogenic activities	له علاقة بالإنشطة التي ليست من صنع الإنسان			
Public/Institutional Use	استخدام عام/ استخدام مؤسسي	Relating to facilities and services which are intended for use by the community as a whole. Often, but not necessarily officially provided or sanctioned e.g. markets, courthouse, official/government etc.	له علاقة بالخدمات للمجتمع ككل. والتي عادة، وليس دائماً، تكون رسمية، مثال الأسواق، المحاكم، الإدارات الحكومية، وغيرها			
Religious Activities	أنشطة دينية	Relating to activities of a ritual nature	له علاقة بأنشطة تعبدية			
Social/Cultural Uses of Heritage	استخدام اجتماعي/ واستخدام ثقافي للتراث 	Relating to activities which are largely for pleasure or enjoyment.  Social factors that contribute to deterioration processes of the fabric of heritage sites. Some uses might have a positive impact as they enhance certain values (e.g. ritual, religious) while others might compromise ascribed values and could lead to the deterioration of the heritage site.				
Status/Display/Monumental	وجاهة/ مظهر/نصب  تذكاري	Relating to structures which serve no functional purpose except to express a statement, usually relating to wealth, status, power etc.	له علاقة ببناء لا يخدم وظيفة محددة وإنما يعبر عن وضع أو مكانة معينة، وعادة ما يكون له علاقة بالثروة أو السلطة	وجاهة/ مظهر/ تذكاري	وجاهة/ مظهر/نصب  تذكاري	وجاهة/ مظهر/ نصب
Tourism/Visitor Activities	سياحة/ نشاطات زيارة	Relating to the management, organization and specific use of archaeology/archaeological sites for educational/pleasure	له علاقة بإدارة وتنظيم استخدامات معينة للمواقع الأثرية لأهداف تعليمية وترفيهية			
Trade/Commercial Use	تجارة/ استخدام تجاري	Relating to facilities and or services which are predominantly economically orientated or mercantile in nature.	له علاقة بخدمات لها طبيعة اقتصادية وتجارية			
Utilties	منافع	Relating to activies supplying useful features, or something useful to the home such as electricity, gas, water, cable and telephone.	له علاقة بتوفير خدمات مفيدة للبيوت مثل الكهرباء، والغاز، والمياه، والهاتف، وغيرها			
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
Vandalism 	تخريب					
Not Applicable 	لا يمكن تحديد					
