Assessment Summary	ملخص التقييم	Unnamed: 2	Unnamed: 3	Ahmed Buzaian suggested translation	MK Comments	Old Term (Replaced by AB or MK translation 2020)
Field Based Assessment	تقييم ميداني	An assessment which takes place in person, at the physical location under investigation		تقييم ميداني	Yes, better.	تقييم في الموقع
Aerial Survey	مسح جوي	A survey of a heritage place or feature from an aerial perspective, for example, by airplane, drone (UAV), or kite		مسح جوي	Yes, better.	مسح جوية
Archaeological Assessment/Ground Survey	تقييم أثري/ مسح ميداني	An in-person and on-location survey which records information about the features, interpretation, and other details about an archaeological or heritage place				
Architectural Survey	مسح معماري/مسح قياسي	An in-person survey which records information specifically about standing structures				
Condition Assessment	تقييم الحالة	An in-person and on-location survey which records information about the condition and potential threats to a heritage place				
Emergency Impact Assessment	تقييم طارئ للتأثير	An in-person and on-location assessment of damage which has occurred to a heritage place as the result of an emergency situation, such as a natural disaster or conflict situation				
Diver Survey	مسح عن طريق الغطس (تحت سطح الماء)					
Marine Geophysical Survey	مسح جيوفيزيائي بحري					
Risk Assessment	تقييم المخاطر	An in-person and on-location assessment of risk factors that may affect the heritage place or feature. This is a more detailed assessment than is undertaken during a normal Condition Assessment.				
Salvage Recording	 التوثيق السريع الإنقاذي	An in-person and on-location, usually rapid, recording of an archaeological site or feature which is in imminent danger of damage or destruction, e.g. during or in advance of construction projects.		التوثيق في حالة الإنقاذ	No, I would say: التوثيق السريع الإنقاذي	تسجيل الإنقاذ
Desk Based Assessment	تقييم من المكتب (من خلال الكومبيوتر)	An assessment which takes place from a remote location using images, descriptions, or other representations of the location under investigation		تقييم مكتبي	No, I would say:تقييم من المكتب (من خلال الكومبيوتر)	تقييم في المكتب
Emergency Impact Assessment (Image Interpretation)	تقييم طارىء لتأثير ما حدث للموقع (تفسير الصور)	A remote assessment of damage which has occurred to a heritage place as the result of an emergency situation, such as a natural disaster or conflict situation, using satellite imagery or photographs		تقييم طارىء لتأثير ما حدث للموقع (تفسير الصور)	Yes, better	تقييم طارىء للتأثير (تفسير الصور)
Archaeological Assessment (Image Interpretation)	تقييم أثري (تفسير الصور)	A remote assessment which records information about the features, interpretation, and other details about an archaeological or heritage place using satellite imagery or photographs				
Archaeological Assessment (Marine Geophysical Data Interpretation)	تقييم أثري (تفسير بيانات جيوفيزيائية بحرية)					
Condition Assessment (Marine Geophysical Data Interpretation)	تقييم الحالة (تفسير بيانات جيوفيزيائية بحرية)					
Condition Assessment (Image Interpretation)	تقييم الحالة (تفسير الصور)	An remote assessment which records information about the condition and potential threats to a heritage place using satellite imagery or photographs				
Risk Assessment (Image Interpretation)	تقييم المخاطر (تقييم الصور)	An remote assessment of risk factors that may affect the heritage place or feature using satellite imagery or photographs. This is a more detailed assessment than is undertaken during a normal Condition Assessment.				
Literature Interpretation/Digitisation	تفسير الأعمال السابقة	Entering data taken directly from a written source, e.g. a published survey, the details of which it may or may not be possible to confirm using remote sensing				
Data Cleaning/enhancing	تنقية/تنقيح المعلومات	Simple cleaning activities, e.g. formatting names, making sure there are no typos etc. Also includes reviewing (and if necessary) enhancing records of trainees or students.		تنقية/تنقيح المعلومات	Yes, better	تنقية المعلومات/ تنقيح
