Geography	الجغرافيا	Unnamed: 2	Unnamed: 3	Alternative suggested translation	MK Comments	Old Term replaced by AB or MK
Algeria	الجزائر					
Bahrain	البحرين					
Djibouti	جيبوتي					
Egypt	مصر					
Eritrea	أرتيريا					
Ethiopia	أثيوبيا					
Iran (Islamic Republic of)	جمهورية إيران الأسلامية					
Iraq	العراق					
Israel	إسرائيل					
Jordan	الأردن					
Kuwait	الكويت					
Lebanon	لبنان					
Libya	ليبيا					
Mauretania	موريتانيا					
Morocco	المغرب					
Oman	مسقط وعُمان					
Palestine, State of	دولة فلسطين					
Qatar	قطر					
Saudi Arabia	السعودية					
Sudan	السودان					
Syrian Arab Republic	الجمهرية العربية السورية					
Tunisia	تونس					
Turkey	تركيا					
United Arab Emirates	الإمارات العربية المتحدة					
Western Sahara	الصحراء الغربية					
Yemen	اليمن					
Other	شيء أخر					
